Posted Date,Reference Number,Payee,Address,Amount
10/12/2024,                       ,"INTEREST CHARGED ON PURCHASES","",-112.73
10/12/2024,24036384285071487336300,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-12.99
10/11/2024,24204294285000794085075,"Peacock 2116A PremPlus 212-6640138 NY","212-6640138   NY ",-6.00
10/11/2024,24445004284300561877990,"FRED-MEYER #0218 WARRENTON OR","WARRENTON     OR ",-26.24
10/11/2024,24116414284067438482077,"PAYPAL *PARAMNTPLUS 402-935-7733 CA","402-935-7733  CA ",-12.99
10/11/2024,24198804284440716588142,"PAYPAL *WIKIPEDIA 4029357733 CA","4029357733    CA ",-3.00
10/11/2024,24036294284712394362309,"HELLOFRESH 347-200-0291 NY","347-200-0291  NY ",-90.91
10/09/2024,24116414283067379205876,"PAYPAL *MICHAEL ROG 402-935-7733 NY","402-935-7733  NY ",-75.60
10/09/2024,24036384282071367699317,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-10.61
10/09/2024,24801974282113130295691,"BAY BREEZE BOARDING AND 503-861-9817 OR","503-861-9817  OR ",-110.00
10/09/2024,24342854282017027428580,"METROPOLITAN TAVERN PORTLAND OR","PORTLAND      OR ",-45.00
10/09/2024,74083424283500000150353,"1PASSWORD* TRIAL OVER TORONTO ON","TORONTO       ON ",-59.85
10/09/2024,24036384282071347132231,"PAYPAL *LYFT RIDE MON 10P402-935-7733 CA","402-935-7733  CA ",-16.00
10/09/2024,24943004282069561226909,"6MODA CENTER PORTLAND OR","PORTLAND      OR ",-19.20
10/09/2024,24943004282069557054422,"9MODA CENTER PORTLAND OR","PORTLAND      OR ",-19.20
10/09/2024,24692164282102119366946,"SQ *BEN & JERRY'S YAMHILLPortland OR","Portland      OR ",-19.80
10/08/2024,24036384282071341388581,"PAYPAL *LYFT TEMP AUTH HO402-935-7733 CA","402-935-7733  CA ",-15.00
10/08/2024,24445004282600101614817,"UEP*365 SUSHI PORTLAND OR","PORTLAND      OR ",-74.95
10/08/2024,24445004281300569688269,"FRED-MEYER #0218 WARRENTON OR","WARRENTON     OR ",-14.28
10/07/2024,24707804280030111063672,"Coffee Girl LLC ASTORIA OR","ASTORIA       OR ",-7.00
10/07/2024,24342854280017077441238,"DEAD MANS ISLE ASTORIA OR","ASTORIA       OR ",-33.50
10/07/2024,24692164280100473999833,"TST*COASTAL SMASH 1 - OR Astoria OR","Astoria       OR ",-34.77
10/07/2024,24036384279071248889496,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-10.61
10/07/2024,24793384279001522690032,"Wikimedia 877-6009454 CA","877-6009454   CA ",-5.35
10/07/2024,24011344279000056246245,"FLICKR PRO MONTHLY FLICKR.COM CA","FLICKR.COM    CA ",-10.08
10/05/2024,24269794279001161501941,"SAHARA PIZZA - ASTORIA- ASTORIA OR","ASTORIA       OR ",-45.55
10/05/2024,24137464278100298821221,"TST* SOON YI SUSHI & MARKASTORIA OR","ASTORIA       OR ",-43.92
10/04/2024,24116414278067186180715,"PP*SPOTIFYUSAI 402-935-7733 NY","402-935-7733  NY ",-16.99
10/04/2024,24036294277742286890801,"HELLOFRESH 347-200-0291 NY","347-200-0291  NY ",-90.91
10/01/2024,24013394274000019587766,"ELECTRIFY AMERICA 833-6322778 VA","833-6322778   VA ",-10.00
10/01/2024,24036384274071038105421,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-2.99
09/30/2024,24269794274000935635675,"SAHARA PIZZA - ASTORIA- ASTORIA OR","ASTORIA       OR ",-45.55
09/30/2024,24116414273067977939480,"PAYPAL *NY TIMES NYTIMES 402-935-7733 NY","402-935-7733  NY ",-25.00
09/28/2024,24692164272103136664950,"SQ *FORT GEORGE BREWERY AAstoria OR","Astoria       OR ",-61.25
09/28/2024,24445004271300389887853,"FSP*GIMRE'S SHOES - ASTORASTORIA OR","ASTORIA       OR ",-266.40
09/27/2024,24692164271102223860068,"TST*COASTAL SMASH 1 - OR Astoria OR","Astoria       OR ",-18.30
09/27/2024,24692164271102177533273,"SQ *BRIDGE & TUNNEL BOTTLAstoria OR","Astoria       OR ",-16.25
09/27/2024,24492164270000025355944,"ASTORIAANIMALHOSPITAL 188-85795668 OR","188-85795668  OR ",-79.00
09/27/2024,24116414270067854222599,"PAYPAL *MEUNDIES 402-935-7733 CA","402-935-7733  CA ",-16.00
09/27/2024,24036294270744113369154,"HELLOFRESH 347-200-0291 NY","347-200-0291  NY ",-90.91
09/26/2024,24943004270062144180390,"COSTCO WHSE #1059 WARRENTON OR","WARRENTON     OR ",-66.98
09/23/2024,24692164266108041746527,"SQ *REPAIR THREE BBQ Astoria OR","Astoria       OR ",-14.40
09/21/2024,24692164264106835321079,"SQ *RIVERDOG ASTORIA Astoria OR","Astoria       OR ",-96.99
09/20/2024,26406005710034835240445,"Online scheduled payment from CHK 4624","",500.00
09/20/2024,24036384263071592188980,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-9.99
09/20/2024,24036384263071594217324,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-9.99
09/20/2024,24036384263071593364895,"PP*APPLE.COM/BILL 402-935-7733 CA","402-935-7733  CA ",-9.99
09/20/2024,24000974263354903531878,"THE MARK SPENCER HOTEL PORTLAND OR","PORTLAND      OR ",-32.00
09/20/2024,24036294263714974809977,"HELLOFRESH 347-200-0291 NY","347-200-0291  NY ",-90.91
